Country,Avg_Exports_2013_2025_USD
中國大陸,32595813720.91077
香港,30601885772.89
新加坡,14734084573.191538
南韓,8845797434.493076
日本,8801189849.470768
馬來西亞,5609971486.3476925
美國,2511301820.2592306
菲律賓,2362309934.2984614
泰國,1513857728.166154
越南,1493663845.3892305
