EventYear,Event,Market,PreAvg_USD,PostAvg_USD,Delta_USD,PreAvg_Share,PostAvg_Share,Delta_Share
2016,None,China,14895901451.135002,28406924500.0,13511023048.864998,0.21020906594291144,0.3015612087910781,0.09135214284816667
2016,None,United States,1484983271.745,1462580000.0,-22403271.744999886,0.020977980168974716,0.015538754473157834,-0.005439225695816882
2016,None,Hong Kong,21328183687.135002,24989582500.0,3661398812.864998,0.3007829010907343,0.2656009588330529,-0.0351819422576814
2016,None,Singapore,12362153080.345001,12233637500.0,-128515580.34500122,0.1743037030160784,0.1301545691086513,-0.044149133907427085
2016,None,Malaysia,2328636632.46,5336634500.0,3007997867.54,0.032838948366875245,0.05673353670248679,0.023894588335611547
2016,None,Vietnam,416298868.71500003,541834000.0,125535131.28499997,0.005876086754207198,0.0057855076179250085,-9.057913628218988e-05
2016,None,Japan,5722267905.695001,7058031000.0,1335763094.3049994,0.08099508937579178,0.07498898789448216,-0.006006101481309617
2016,None,South Korea,6989084580.52,6659718000.0,-329366580.52000046,0.09876422982660646,0.07082405955592475,-0.027940170270681713
2016,None,TOTAL (All markets),547164057.4842085,746882841.2698413,199718783.78563285,0.007722007722007722,0.007936507936507936,0.00021450021450021388
2016,None,China,14895901451.135002,28406924500.0,13511023048.864998,0.21020906594291144,0.3015612087910781,0.09135214284816667
2016,None,United States,1484983271.745,1462580000.0,-22403271.744999886,0.020977980168974716,0.015538754473157834,-0.005439225695816882
2016,None,Hong Kong,21328183687.135002,24989582500.0,3661398812.864998,0.3007829010907343,0.2656009588330529,-0.0351819422576814
2016,None,Singapore,12362153080.345001,12233637500.0,-128515580.34500122,0.1743037030160784,0.1301545691086513,-0.044149133907427085
2016,None,Malaysia,2328636632.46,5336634500.0,3007997867.54,0.032838948366875245,0.05673353670248679,0.023894588335611547
2016,None,Vietnam,416298868.71500003,541834000.0,125535131.28499997,0.005876086754207198,0.0057855076179250085,-9.057913628218988e-05
2016,None,Japan,5722267905.695001,7058031000.0,1335763094.3049994,0.08099508937579178,0.07498898789448216,-0.006006101481309617
