k,term,coef,low,high,pct_approx(%),pct_exp(%)
-3,TW_ES_ChipAct2022_m3,0.002702899489136129,-0.0955182052449082,0.10092400422318046,0.2702899489136129,0.2706555615265449
-2,TW_ES_ChipAct2022_m2,0.10796834167681016,0.0005490575890229749,0.21538762576459736,10.796834167681016,11.401247706116635
-1,baseline(-1),0.0,0.0,0.0,0.0,0.0
0,TW_ES_ChipAct2022_p0,0.2691828716164248,0.13563351732412654,0.40273222590872304,26.91828716164248,30.889447881082745
1,TW_ES_ChipAct2022_p1,0.3576475788923688,0.19524037722314058,0.520054780561597,35.76475788923688,42.996158302343645
2,TW_ES_ChipAct2022_p2,0.1340596591497837,-0.027445552203912454,0.2955648705034799,13.40596591497837,14.346103552296597
3,TW_ES_ChipAct2022_p3,0.0,0.0,0.0,0.0,0.0
