進出口別,日期,貨品號列,中文貨名,英文貨名,美元(千元)
出口總值(含復出口),103年,85429090001,其他第８５４２節所屬貨品之零件, Other parts of articles of heading No. 8542,41729.05793
出口總值(含復出口),104年,85423100002,處理器及控制器，不論是否併裝有記憶體、轉換器、邏輯電路、放大器、計時器及計時電路或其他電路, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,1542689.34894
出口總值(含復出口),104年,85423200118,光罩式唯讀記憶體晶片之單石數位積體電路晶粒及晶圓, Chips and wafers of monolithic digital integrated circuits with Mask-ROM,180.89166
出口總值(含復出口),104年,85423200127,光罩式唯讀記憶體晶片之單石數位積體電路, Monolithic digital integrated circuits with Mask-ROM,140.4537
出口總值(含復出口),104年,85423200136,光罩式唯讀記憶體晶片之單石積體電路晶粒及晶圓, Chips and wafers of other monolithic integrated circuits with Mask-ROM,890.19366
出口總值(含復出口),104年,85423200145,光罩式唯讀記憶體晶片之單石積體電路, Monolithic integrated circuits with Mask-ROM,12.70717
出口總值(含復出口),104年,85423200154,光罩式唯讀記憶體晶片之混合積體電路晶粒及晶圓, Chips and wafers of hybrid integrated circuits with Mask-ROM,164.46859
出口總值(含復出口),104年,85423200163,光罩式唯讀記憶體晶片之混合積體電路, Hybrid integrated circuits with Mask-ROM,109.70121
出口總值(含復出口),104年,85423200216,動態隨機存取記憶體積體電路晶粒, Chips of dynamic random access memory integrated circuits (DRAM),857336.98927
出口總值(含復出口),104年,85423200225,動態隨機存取記憶體積體電路晶圓, Wafers of dynamic random access memory integrated circuits (DRAM),462027.55258
出口總值(含復出口),104年,85423200234,動態隨機存取記憶體積體電路, Dynamic random access memory integrated circuits (DRAM),5349127.45192
出口總值(含復出口),104年,85423200314,靜態隨機存取記憶體積體電路晶粒, Chips of static random access memory integrated circuits (SRAM),6272.53687
出口總值(含復出口),104年,85423200323,靜態隨機存取記憶體積體電路晶圓, Wafers of static random access memory integrated circuits (SRAM),97.23251
出口總值(含復出口),104年,85423200332,靜態隨機存取記憶體積體電路, Static random access memory integrated circuits (SRAM),117868.75676
出口總值(含復出口),104年,85423200902,其他記憶體, Other memories,612625.9648
出口總值(含復出口),104年,85423300000,放大器, Amplifiers,53344.45737
出口總值(含復出口),104年,85423900111,其他單石數位積體電路晶粒, Chips of other monolithic digital integrated circuits,5808665.3933
出口總值(含復出口),104年,85423900120,其他單石數位積體電路晶圓, Wafers of other monolithic digital integrated circuits,16033372.52363
出口總值(含復出口),104年,85423900139,其他單石數位積體電路, Other monolithic digital integrated circuits,4430147.0302
出口總值(含復出口),104年,85423900219,其他混合積體電路晶粒及晶圓, Other chips and wafers of hybrid integrated circuits,1676008.95424
出口總值(含復出口),104年,85423900228,其他混合積體電路, Other hybrid integrated circuits,31858103.90609
出口總值(含復出口),104年,85423900905,其他積體電路, Other electronic integrated circuits,546566.06334
出口總值(含復出口),104年,85429010008,積體電路用引線架, Lead frames for integrated circuits,36292.48015
出口總值(含復出口),104年,85429090001,其他第８５４２節所屬貨品之零件, Other parts of articles of heading No. 8542,36891.39229
出口總值(含復出口),105年,85423100002,處理器及控制器，不論是否併裝有記憶體、轉換器、邏輯電路、放大器、計時器及計時電路或其他電路, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,1694235
出口總值(含復出口),105年,85423200118,光罩式唯讀記憶體晶片之單石數位積體電路晶粒及晶圓, Chips and wafers of monolithic digital integrated circuits with Mask-ROM,2618
出口總值(含復出口),105年,85423200127,光罩式唯讀記憶體晶片之單石數位積體電路, Monolithic digital integrated circuits with Mask-ROM,143
出口總值(含復出口),105年,85423200136,光罩式唯讀記憶體晶片之單石積體電路晶粒及晶圓, Chips and wafers of other monolithic integrated circuits with Mask-ROM,301
出口總值(含復出口),105年,85423200145,光罩式唯讀記憶體晶片之單石積體電路, Monolithic integrated circuits with Mask-ROM,0
出口總值(含復出口),105年,85423200154,光罩式唯讀記憶體晶片之混合積體電路晶粒及晶圓, Chips and wafers of hybrid integrated circuits with Mask-ROM,90
出口總值(含復出口),105年,85423200163,光罩式唯讀記憶體晶片之混合積體電路, Hybrid integrated circuits with Mask-ROM,99
出口總值(含復出口),105年,85423200216,動態隨機存取記憶體積體電路晶粒, Chips of dynamic random access memory integrated circuits (DRAM),760193
出口總值(含復出口),105年,85423200225,動態隨機存取記憶體積體電路晶圓, Wafers of dynamic random access memory integrated circuits (DRAM),821918
出口總值(含復出口),105年,85423200234,動態隨機存取記憶體積體電路, Dynamic random access memory integrated circuits (DRAM),5241307
出口總值(含復出口),105年,85423200314,靜態隨機存取記憶體積體電路晶粒, Chips of static random access memory integrated circuits (SRAM),11013
出口總值(含復出口),105年,85423200323,靜態隨機存取記憶體積體電路晶圓, Wafers of static random access memory integrated circuits (SRAM),1120
出口總值(含復出口),105年,85423200332,靜態隨機存取記憶體積體電路, Static random access memory integrated circuits (SRAM),138820
出口總值(含復出口),105年,85423200902,其他記憶體, Other memories,1134571
出口總值(含復出口),105年,85423300000,放大器, Amplifiers,138551
出口總值(含復出口),105年,85423900111,其他單石數位積體電路晶粒, Chips of other monolithic digital integrated circuits,8761499
出口總值(含復出口),105年,85423900120,其他單石數位積體電路晶圓, Wafers of other monolithic digital integrated circuits,15842024
出口總值(含復出口),105年,85423900139,其他單石數位積體電路, Other monolithic digital integrated circuits,4342062
出口總值(含復出口),105年,85423900219,其他混合積體電路晶粒及晶圓, Other chips and wafers of hybrid integrated circuits,2683470
出口總值(含復出口),105年,85423900228,其他混合積體電路, Other hybrid integrated circuits,35875121
出口總值(含復出口),105年,85423900905,其他積體電路, Other electronic integrated circuits,648030
出口總值(含復出口),105年,85429010008,積體電路用引線架, Lead frames for integrated circuits,37771
出口總值(含復出口),105年,85429090001,其他第８５４２節所屬貨品之零件, Other parts of articles of heading No. 8542,36812
