進出口別,日期,貨品號列,中文貨名,英文貨名,美元(千元)
出口總值(含復出口),112年,85423200127,光罩式唯讀記憶體晶片之單石數位積體電路, Monolithic digital integrated circuits with Mask-ROM,171
出口總值(含復出口),112年,85423200145,光罩式唯讀記憶體晶片之單石積體電路, Monolithic integrated circuits with Mask-ROM,0
出口總值(含復出口),112年,85423200163,光罩式唯讀記憶體晶片之混合積體電路, Hybrid integrated circuits with Mask-ROM,379
出口總值(含復出口),112年,85423200216,動態隨機存取記憶體積體電路晶粒, Chips of dynamic random access memory integrated circuits (DRAM),3982634
出口總值(含復出口),112年,85423200225,動態隨機存取記憶體積體電路晶圓, Wafers of dynamic random access memory integrated circuits (DRAM),138348
出口總值(含復出口),112年,85423200234,動態隨機存取記憶體積體電路, Dynamic random access memory integrated circuits (DRAM),9977427
出口總值(含復出口),112年,85423200314,靜態隨機存取記憶體積體電路晶粒, Chips of static random access memory integrated circuits (SRAM),435
出口總值(含復出口),112年,85423200323,靜態隨機存取記憶體積體電路晶圓, Wafers of static random access memory integrated circuits (SRAM),763
出口總值(含復出口),112年,85423200332,靜態隨機存取記憶體積體電路, Static random access memory integrated circuits (SRAM),49497
出口總值(含復出口),112年,85423200902,其他記憶體, Other memories,6079283
出口總值(含復出口),112年,85423300000,放大器, Amplifiers,68667
出口總值(含復出口),112年,85423900111,其他單石數位積體電路晶粒, Chips of other monolithic digital integrated circuits,13883317
出口總值(含復出口),112年,85423900120,其他單石數位積體電路晶圓, Wafers of other monolithic digital integrated circuits,32422582
出口總值(含復出口),112年,85423900139,其他單石數位積體電路, Other monolithic digital integrated circuits,5930470
出口總值(含復出口),112年,85423900219,其他混合積體電路晶粒及晶圓, Other chips and wafers of hybrid integrated circuits,5147354
出口總值(含復出口),112年,85423900228,其他混合積體電路, Other hybrid integrated circuits,70137554
出口總值(含復出口),112年,85423900905,其他積體電路, Other electronic integrated circuits,4583633
出口總值(含復出口),112年,85429010008,積體電路用引線架, Lead frames for integrated circuits,79383
出口總值(含復出口),112年,85429090001,其他第８５４２節所屬貨品之零件, Other parts of articles of heading No. 8542,21673
出口總值(含復出口),113年,85423100002,處理器及控制器，不論是否併裝有記憶體、轉換器、邏輯電路、放大器、計時器及計時電路或其他電路, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,17157502
出口總值(含復出口),113年,85423200118,光罩式唯讀記憶體晶片之單石數位積體電路晶粒及晶圓, Chips and wafers of monolithic digital integrated circuits with Mask-ROM,109
出口總值(含復出口),113年,85423200127,光罩式唯讀記憶體晶片之單石數位積體電路, Monolithic digital integrated circuits with Mask-ROM,0
出口總值(含復出口),113年,85423200136,光罩式唯讀記憶體晶片之單石積體電路晶粒及晶圓, Chips and wafers of other monolithic integrated circuits with Mask-ROM,103
出口總值(含復出口),113年,85423200145,光罩式唯讀記憶體晶片之單石積體電路, Monolithic integrated circuits with Mask-ROM,27
出口總值(含復出口),113年,85423200154,光罩式唯讀記憶體晶片之混合積體電路晶粒及晶圓, Chips and wafers of hybrid integrated circuits with Mask-ROM,23
出口總值(含復出口),113年,85423200163,光罩式唯讀記憶體晶片之混合積體電路, Hybrid integrated circuits with Mask-ROM,97
出口總值(含復出口),113年,85423200216,動態隨機存取記憶體積體電路晶粒, Chips of dynamic random access memory integrated circuits (DRAM),4442522
出口總值(含復出口),113年,85423200225,動態隨機存取記憶體積體電路晶圓, Wafers of dynamic random access memory integrated circuits (DRAM),168112
出口總值(含復出口),113年,85423200234,動態隨機存取記憶體積體電路, Dynamic random access memory integrated circuits (DRAM),8387020
出口總值(含復出口),113年,85423200314,靜態隨機存取記憶體積體電路晶粒, Chips of static random access memory integrated circuits (SRAM),287
出口總值(含復出口),113年,85423200323,靜態隨機存取記憶體積體電路晶圓, Wafers of static random access memory integrated circuits (SRAM),1061
出口總值(含復出口),113年,85423200332,靜態隨機存取記憶體積體電路, Static random access memory integrated circuits (SRAM),36294
出口總值(含復出口),113年,85423200902,其他記憶體, Other memories,7362303
出口總值(含復出口),113年,85423300000,放大器, Amplifiers,70790
出口總值(含復出口),113年,85423900111,其他單石數位積體電路晶粒, Chips of other monolithic digital integrated circuits,7570901
出口總值(含復出口),113年,85423900120,其他單石數位積體電路晶圓, Wafers of other monolithic digital integrated circuits,37215030
出口總值(含復出口),113年,85423900139,其他單石數位積體電路, Other monolithic digital integrated circuits,6088848
出口總值(含復出口),113年,85423900219,其他混合積體電路晶粒及晶圓, Other chips and wafers of hybrid integrated circuits,6725001
出口總值(含復出口),113年,85423900228,其他混合積體電路, Other hybrid integrated circuits,64840626
出口總值(含復出口),113年,85423900905,其他積體電路, Other electronic integrated circuits,4852988
出口總值(含復出口),113年,85429010008,積體電路用引線架, Lead frames for integrated circuits,103140
出口總值(含復出口),113年,85429090001,其他第８５４２節所屬貨品之零件, Other parts of articles of heading No. 8542,19418
出口總值(含復出口),114年1月~114年7月(初步值),85423100002,處理器及控制器，不論是否併裝有記憶體、轉換器、邏輯電路、放大器、計時器及計時電路或其他電路, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,15588187
出口總值(含復出口),114年1月~114年7月(初步值),85423200118,光罩式唯讀記憶體晶片之單石數位積體電路晶粒及晶圓, Chips and wafers of monolithic digital integrated circuits with Mask-ROM,147
出口總值(含復出口),114年1月~114年7月(初步值),85423200127,光罩式唯讀記憶體晶片之單石數位積體電路, Monolithic digital integrated circuits with Mask-ROM,2
出口總值(含復出口),114年1月~114年7月(初步值),85423200145,光罩式唯讀記憶體晶片之單石積體電路, Monolithic integrated circuits with Mask-ROM,9
出口總值(含復出口),114年1月~114年7月(初步值),85423200154,光罩式唯讀記憶體晶片之混合積體電路晶粒及晶圓, Chips and wafers of hybrid integrated circuits with Mask-ROM,7
出口總值(含復出口),114年1月~114年7月(初步值),85423200163,光罩式唯讀記憶體晶片之混合積體電路, Hybrid integrated circuits with Mask-ROM,24
出口總值(含復出口),114年1月~114年7月(初步值),85423200216,動態隨機存取記憶體積體電路晶粒, Chips of dynamic random access memory integrated circuits (DRAM),3335322
出口總值(含復出口),114年1月~114年7月(初步值),85423200225,動態隨機存取記憶體積體電路晶圓, Wafers of dynamic random access memory integrated circuits (DRAM),107416
出口總值(含復出口),114年1月~114年7月(初步值),85423200234,動態隨機存取記憶體積體電路, Dynamic random access memory integrated circuits (DRAM),8468253
出口總值(含復出口),114年1月~114年7月(初步值),85423200314,靜態隨機存取記憶體積體電路晶粒, Chips of static random access memory integrated circuits (SRAM),276
出口總值(含復出口),114年1月~114年7月(初步值),85423200323,靜態隨機存取記憶體積體電路晶圓, Wafers of static random access memory integrated circuits (SRAM),387
出口總值(含復出口),114年1月~114年7月(初步值),85423200332,靜態隨機存取記憶體積體電路, Static random access memory integrated circuits (SRAM),20953
出口總值(含復出口),114年1月~114年7月(初步值),85423200902,其他記憶體, Other memories,4066468
出口總值(含復出口),114年1月~114年7月(初步值),85423300000,放大器, Amplifiers,57460
出口總值(含復出口),114年1月~114年7月(初步值),85423900111,其他單石數位積體電路晶粒, Chips of other monolithic digital integrated circuits,4129352
出口總值(含復出口),114年1月~114年7月(初步值),85423900120,其他單石數位積體電路晶圓, Wafers of other monolithic digital integrated circuits,22213931
出口總值(含復出口),114年1月~114年7月(初步值),85423900139,其他單石數位積體電路, Other monolithic digital integrated circuits,3833481
出口總值(含復出口),114年1月~114年7月(初步值),85423900219,其他混合積體電路晶粒及晶圓, Other chips and wafers of hybrid integrated circuits,5343810
出口總值(含復出口),114年1月~114年7月(初步值),85423900228,其他混合積體電路, Other hybrid integrated circuits,39471316
出口總值(含復出口),114年1月~114年7月(初步值),85423900905,其他積體電路, Other electronic integrated circuits,3053449
出口總值(含復出口),114年1月~114年7月(初步值),85429010008,積體電路用引線架, Lead frames for integrated circuits,76099
出口總值(含復出口),114年1月~114年7月(初步值),85429090001,其他第８５４２節所屬貨品之零件, Other parts of articles of heading No. 8542,8982
